# Source Data for Fig. 3a, Quantum-Resistant Quantum Teleportation
# memory_lifetime_ns = PQC processing latency + 5 ns/m fibre propagation
# PQC latencies are those of Table 1 of the main text
panel,scheme,nist_level,distance_m,memory_lifetime_ns
3a,FrodoKEM-1344,5,0.0000,45100.0000
3a,FrodoKEM-1344,5,2.0408,45110.2041
3a,FrodoKEM-1344,5,4.0816,45120.4082
3a,FrodoKEM-1344,5,6.1224,45130.6122
3a,FrodoKEM-1344,5,8.1633,45140.8163
3a,FrodoKEM-1344,5,10.2041,45151.0204
3a,FrodoKEM-1344,5,12.2449,45161.2245
3a,FrodoKEM-1344,5,14.2857,45171.4286
3a,FrodoKEM-1344,5,16.3265,45181.6327
3a,FrodoKEM-1344,5,18.3673,45191.8367
3a,FrodoKEM-1344,5,20.4082,45202.0408
3a,FrodoKEM-1344,5,22.4490,45212.2449
3a,FrodoKEM-1344,5,24.4898,45222.4490
3a,FrodoKEM-1344,5,26.5306,45232.6531
3a,FrodoKEM-1344,5,28.5714,45242.8571
3a,FrodoKEM-1344,5,30.6122,45253.0612
3a,FrodoKEM-1344,5,32.6531,45263.2653
3a,FrodoKEM-1344,5,34.6939,45273.4694
3a,FrodoKEM-1344,5,36.7347,45283.6735
3a,FrodoKEM-1344,5,38.7755,45293.8776
3a,FrodoKEM-1344,5,40.8163,45304.0816
3a,FrodoKEM-1344,5,42.8571,45314.2857
3a,FrodoKEM-1344,5,44.8980,45324.4898
3a,FrodoKEM-1344,5,46.9388,45334.6939
3a,FrodoKEM-1344,5,48.9796,45344.8980
3a,FrodoKEM-1344,5,51.0204,45355.1020
3a,FrodoKEM-1344,5,53.0612,45365.3061
3a,FrodoKEM-1344,5,55.1020,45375.5102
3a,FrodoKEM-1344,5,57.1429,45385.7143
3a,FrodoKEM-1344,5,59.1837,45395.9184
3a,FrodoKEM-1344,5,61.2245,45406.1224
3a,FrodoKEM-1344,5,63.2653,45416.3265
