# Source Data for Fig. 3b, Quantum-Resistant Quantum Teleportation
# memory_lifetime_ns = PQC processing latency + 5 ns/m fibre propagation
# PQC latencies are those of Table 1 of the main text
panel,scheme,nist_level,distance_m,memory_lifetime_ns
3b,FrodoKEM-1344,5,0.0000,45100.0000
3b,FrodoKEM-1344,5,10.2041,45151.0204
3b,FrodoKEM-1344,5,20.4082,45202.0408
3b,FrodoKEM-1344,5,30.6122,45253.0612
3b,FrodoKEM-1344,5,40.8163,45304.0816
3b,FrodoKEM-1344,5,51.0204,45355.1020
3b,FrodoKEM-1344,5,61.2245,45406.1224
3b,FrodoKEM-1344,5,71.4286,45457.1429
3b,FrodoKEM-1344,5,81.6327,45508.1633
3b,FrodoKEM-1344,5,91.8367,45559.1837
3b,FrodoKEM-1344,5,102.0408,45610.2041
3b,FrodoKEM-1344,5,112.2449,45661.2245
3b,FrodoKEM-1344,5,122.4490,45712.2449
3b,FrodoKEM-1344,5,132.6531,45763.2653
3b,FrodoKEM-1344,5,142.8571,45814.2857
3b,FrodoKEM-1344,5,153.0612,45865.3061
3b,FrodoKEM-1344,5,163.2653,45916.3265
3b,FrodoKEM-1344,5,173.4694,45967.3469
3b,FrodoKEM-1344,5,183.6735,46018.3673
3b,FrodoKEM-1344,5,193.8776,46069.3878
3b,FrodoKEM-1344,5,204.0816,46120.4082
3b,FrodoKEM-1344,5,214.2857,46171.4286
3b,FrodoKEM-1344,5,224.4898,46222.4490
3b,FrodoKEM-1344,5,234.6939,46273.4694
3b,FrodoKEM-1344,5,244.8980,46324.4898
3b,FrodoKEM-1344,5,255.1020,46375.5102
3b,FrodoKEM-1344,5,265.3061,46426.5306
3b,FrodoKEM-1344,5,275.5102,46477.5510
3b,FrodoKEM-1344,5,285.7143,46528.5714
3b,FrodoKEM-1344,5,295.9184,46579.5918
3b,FrodoKEM-1344,5,306.1224,46630.6122
3b,FrodoKEM-1344,5,316.3265,46681.6327
3b,FrodoKEM-1344,5,326.5306,46732.6531
3b,FrodoKEM-1344,5,336.7347,46783.6735
3b,FrodoKEM-1344,5,346.9388,46834.6939
3b,FrodoKEM-1344,5,357.1429,46885.7143
3b,FrodoKEM-1344,5,367.3469,46936.7347
3b,FrodoKEM-1344,5,377.5510,46987.7551
3b,FrodoKEM-1344,5,387.7551,47038.7755
3b,FrodoKEM-1344,5,397.9592,47089.7959
3b,FrodoKEM-1344,5,408.1633,47140.8163
3b,FrodoKEM-1344,5,418.3673,47191.8367
3b,FrodoKEM-1344,5,428.5714,47242.8571
3b,FrodoKEM-1344,5,438.7755,47293.8776
3b,FrodoKEM-1344,5,448.9796,47344.8980
3b,FrodoKEM-1344,5,459.1837,47395.9184
3b,FrodoKEM-1344,5,469.3878,47446.9388
3b,FrodoKEM-1344,5,479.5918,47497.9592
3b,FrodoKEM-1344,5,489.7959,47548.9796
3b,FrodoKEM-1344,5,500.0000,47600.0000
3b,FrodoKEM-976,3,0.0000,28400.0000
3b,FrodoKEM-976,3,10.2041,28451.0204
3b,FrodoKEM-976,3,20.4082,28502.0408
3b,FrodoKEM-976,3,30.6122,28553.0612
3b,FrodoKEM-976,3,40.8163,28604.0816
3b,FrodoKEM-976,3,51.0204,28655.1020
3b,FrodoKEM-976,3,61.2245,28706.1224
3b,FrodoKEM-976,3,71.4286,28757.1429
3b,FrodoKEM-976,3,81.6327,28808.1633
3b,FrodoKEM-976,3,91.8367,28859.1837
3b,FrodoKEM-976,3,102.0408,28910.2041
3b,FrodoKEM-976,3,112.2449,28961.2245
3b,FrodoKEM-976,3,122.4490,29012.2449
3b,FrodoKEM-976,3,132.6531,29063.2653
3b,FrodoKEM-976,3,142.8571,29114.2857
3b,FrodoKEM-976,3,153.0612,29165.3061
3b,FrodoKEM-976,3,163.2653,29216.3265
3b,FrodoKEM-976,3,173.4694,29267.3469
3b,FrodoKEM-976,3,183.6735,29318.3673
3b,FrodoKEM-976,3,193.8776,29369.3878
3b,FrodoKEM-976,3,204.0816,29420.4082
3b,FrodoKEM-976,3,214.2857,29471.4286
3b,FrodoKEM-976,3,224.4898,29522.4490
3b,FrodoKEM-976,3,234.6939,29573.4694
3b,FrodoKEM-976,3,244.8980,29624.4898
3b,FrodoKEM-976,3,255.1020,29675.5102
3b,FrodoKEM-976,3,265.3061,29726.5306
3b,FrodoKEM-976,3,275.5102,29777.5510
3b,FrodoKEM-976,3,285.7143,29828.5714
3b,FrodoKEM-976,3,295.9184,29879.5918
3b,FrodoKEM-976,3,306.1224,29930.6122
3b,FrodoKEM-976,3,316.3265,29981.6327
3b,FrodoKEM-976,3,326.5306,30032.6531
3b,FrodoKEM-976,3,336.7347,30083.6735
3b,FrodoKEM-976,3,346.9388,30134.6939
3b,FrodoKEM-976,3,357.1429,30185.7143
3b,FrodoKEM-976,3,367.3469,30236.7347
3b,FrodoKEM-976,3,377.5510,30287.7551
3b,FrodoKEM-976,3,387.7551,30338.7755
3b,FrodoKEM-976,3,397.9592,30389.7959
3b,FrodoKEM-976,3,408.1633,30440.8163
3b,FrodoKEM-976,3,418.3673,30491.8367
3b,FrodoKEM-976,3,428.5714,30542.8571
3b,FrodoKEM-976,3,438.7755,30593.8776
3b,FrodoKEM-976,3,448.9796,30644.8980
3b,FrodoKEM-976,3,459.1837,30695.9184
3b,FrodoKEM-976,3,469.3878,30746.9388
3b,FrodoKEM-976,3,479.5918,30797.9592
3b,FrodoKEM-976,3,489.7959,30848.9796
3b,FrodoKEM-976,3,500.0000,30900.0000
3b,FrodoKEM-640,1,0.0000,15700.0000
3b,FrodoKEM-640,1,10.2041,15751.0204
3b,FrodoKEM-640,1,20.4082,15802.0408
3b,FrodoKEM-640,1,30.6122,15853.0612
3b,FrodoKEM-640,1,40.8163,15904.0816
3b,FrodoKEM-640,1,51.0204,15955.1020
3b,FrodoKEM-640,1,61.2245,16006.1224
3b,FrodoKEM-640,1,71.4286,16057.1429
3b,FrodoKEM-640,1,81.6327,16108.1633
