# Source Data for Fig. 5, Quantum-Resistant Quantum Teleportation
# m=30, s=2, a=0.3, b=2.7, ||b1||=10, d_i=2, T_coh=20 s
# maximum at t* = 16.40 s with P_joint = 0.6450 (printed on the figure as 16 s and 0.645)
time_s,P_LWE,P_SWAP,P_joint
0.500000,0.0000000000,0.9876549560,0.0000000000
0.550000,0.0000000000,0.9864373413,0.0000000000
0.600000,0.0000000000,0.9852227668,0.0000000000
0.650000,0.0000000000,0.9840112249,0.0000000000
0.700000,0.0000000000,0.9828027081,0.0000000000
0.750000,0.0000000000,0.9815972089,0.0000000000
0.800000,0.0000000000,0.9803947196,0.0000000000
0.850000,0.0000000002,0.9791952328,0.0000000002
0.900000,0.0000000013,0.9779987409,0.0000000012
0.950000,0.0000000061,0.9768052366,0.0000000059
1.000000,0.0000000243,0.9756147123,0.0000000237
1.050000,0.0000000826,0.9744271605,0.0000000805
1.100000,0.0000002457,0.9732425740,0.0000002391
1.150000,0.0000006512,0.9720609452,0.0000006330
1.200000,0.0000015650,0.9708822668,0.0000015194
1.250000,0.0000034562,0.9697065314,0.0000033515
1.300000,0.0000070935,0.9685337317,0.0000068703
1.350000,0.0000136562,0.9673638603,0.0000132105
1.400000,0.0000248540,0.9661969100,0.0000240139
1.450000,0.0000430461,0.9650328733,0.0000415409
1.500000,0.0000713480,0.9638717432,0.0000687703
1.550000,0.0001137192,0.9627135122,0.0001094790
1.600000,0.0001750210,0.9615581732,0.0001682929
1.650000,0.0002610422,0.9604057189,0.0002507064
1.700000,0.0003784879,0.9592561422,0.0003630668
1.750000,0.0005349332,0.9581094358,0.0005125245
1.800000,0.0007387437,0.9569655926,0.0007069523
1.850000,0.0009989682,0.9558246055,0.0009548384
1.900000,0.0013252079,0.9546864672,0.0012651581
1.950000,0.0017274702,0.9535511708,0.0016472312
2.000000,0.0022160124,0.9524187090,0.0021105717
2.050000,0.0028011823,0.9512890749,0.0026647341
2.100000,0.0034932607,0.9501622613,0.0033191644
2.150000,0.0043023113,0.9490382612,0.0040830580
2.200000,0.0052380417,0.9479170676,0.0049652291
2.250000,0.0063096777,0.9467986736,0.0059739945
2.300000,0.0075258541,0.9456830720,0.0071170729
2.350000,0.0088945226,0.9445702559,0.0084015015
2.400000,0.0104228768,0.9434602184,0.0098335696
2.450000,0.0121172953,0.9423529525,0.0114187690
2.500000,0.0139833010,0.9412484513,0.0131617604
2.550000,0.0160255368,0.9401467079,0.0150663557
2.600000,0.0182477548,0.9390477155,0.0171355125
2.650000,0.0206528194,0.9379514671,0.0193713422
2.700000,0.0232427210,0.9368579558,0.0217751281
2.750000,0.0260186004,0.9357671750,0.0243473522
2.800000,0.0289807804,0.9346791177,0.0270877302
2.850000,0.0321288045,0.9335937771,0.0299952520
2.900000,0.0354614813,0.9325111466,0.0330682266
2.950000,0.0389769323,0.9314312192,0.0363043315
3.000000,0.0426726422,0.9303539882,0.0397006628
3.050000,0.0465455119,0.9292794470,0.0432537876
3.100000,0.0505919118,0.9282075887,0.0469597964
3.150000,0.0548077342,0.9271384068,0.0508143554
3.200000,0.0591884469,0.9260718945,0.0548127571
3.250000,0.0637291437,0.9250080451,0.0589499706
3.300000,0.0684245946,0.9239468520,0.0632206888
3.350000,0.0732692931,0.9228883086,0.0676193740
3.400000,0.0782575015,0.9218324083,0.0721403011
3.450000,0.0833832939,0.9207791444,0.0767775980
3.500000,0.0886405959,0.9197285104,0.0815252832
3.550000,0.0940232223,0.9186804997,0.0863773009
3.600000,0.0995249118,0.9176351057,0.0913275529
3.650000,0.1051393584,0.9165923220,0.0963699286
3.700000,0.1108602411,0.9155521419,0.1014983312
3.750000,0.1166812501,0.9145145591,0.1067067020
3.800000,0.1225961106,0.9134795670,0.1119890421
3.850000,0.1285986049,0.9124471591,0.1173394317
3.900000,0.1346825908,0.9114173290,0.1227520471
3.950000,0.1408420190,0.9103900703,0.1282211756
4.000000,0.1470709481,0.9093653765,0.1337412281
4.050000,0.1533635570,0.9083432413,0.1393067504
4.100000,0.1597141564,0.9073236582,0.1449124326
4.150000,0.1661171982,0.9063066209,0.1505531166
4.200000,0.1725672832,0.9052921230,0.1562238021
4.250000,0.1790591676,0.9042801582,0.1619196524
4.300000,0.1855877681,0.9032707201,0.1676359969
4.350000,0.1921481660,0.9022638025,0.1733683349
4.400000,0.1987356097,0.9012593990,0.1791123362
4.450000,0.2053455170,0.9002575034,0.1848638425
4.500000,0.2119734757,0.8992581094,0.1906188670
4.550000,0.2186152442,0.8982612107,0.1963735939
4.600000,0.2252667504,0.8972668013,0.2021243765
4.650000,0.2319240913,0.8962748747,0.2078677358
4.700000,0.2385835309,0.8952854248,0.2136003578
4.750000,0.2452414981,0.8942984455,0.2193190905
4.800000,0.2518945843,0.8933139305,0.2250209412
4.850000,0.2585395403,0.8923318738,0.2307030725
4.900000,0.2651732732,0.8913522691,0.2363627988
4.950000,0.2717928429,0.8903751104,0.2419975825
5.000000,0.2783954584,0.8894003915,0.2476050297
5.050000,0.2849784737,0.8884281064,0.2531828858
5.100000,0.2915393844,0.8874582490,0.2587290316
5.150000,0.2980758229,0.8864908132,0.2642414787
5.200000,0.3045855548,0.8855257929,0.2697183650
5.250000,0.3110664743,0.8845631822,0.2751579503
5.300000,0.3175165998,0.8836029750,0.2805586122
5.350000,0.3239340703,0.8826451653,0.2859188410
5.400000,0.3303171404,0.8816897472,0.2912372360
5.450000,0.3366641765,0.8807367146,0.2965125007
5.500000,0.3429736525,0.8797860616,0.3017434390
5.550000,0.3492441456,0.8788377823,0.3069289504
5.600000,0.3554743324,0.8778918707,0.3120680267
5.650000,0.3616629846,0.8769483210,0.3171597471
5.700000,0.3678089654,0.8760071272,0.3222032751
5.750000,0.3739112255,0.8750682834,0.3271978542
5.800000,0.3799687993,0.8741317838,0.3321428043
5.850000,0.3859808013,0.8731976225,0.3370375181
5.900000,0.3919464228,0.8722657937,0.3418814575
5.950000,0.3978649278,0.8713362916,0.3466741507
6.000000,0.4037356503,0.8704091103,0.3514151882
6.050000,0.4095579909,0.8694842441,0.3561042202
6.100000,0.4153314134,0.8685616872,0.3607409532
6.150000,0.4210554418,0.8676414338,0.3653251473
6.200000,0.4267296578,0.8667234781,0.3698566132
6.250000,0.4323536972,0.8658078145,0.3743352097
6.300000,0.4379272480,0.8648944371,0.3787608407
6.350000,0.4434500472,0.8639833404,0.3831334531
6.400000,0.4489218784,0.8630745185,0.3874530341
6.450000,0.4543425694,0.8621679659,0.3917196089
6.500000,0.4597119900,0.8612636768,0.3959332387
6.550000,0.4650300492,0.8603616456,0.4000940184
6.600000,0.4702966939,0.8594618667,0.4042020745
6.650000,0.4755119062,0.8585643344,0.4082575632
6.700000,0.4806757013,0.8576690432,0.4122606688
6.750000,0.4857881262,0.8567759874,0.4162116015
6.800000,0.4908492575,0.8558851614,0.4201105960
6.850000,0.4958591995,0.8549965597,0.4239579097
6.900000,0.5008180830,0.8541101767,0.4277538214
6.950000,0.5057260632,0.8532260070,0.4314986296
7.000000,0.5105833187,0.8523440449,0.4351926511
7.050000,0.5153900493,0.8514642849,0.4388362198
7.100000,0.5201464756,0.8505867216,0.4424296855
7.150000,0.5248528369,0.8497113495,0.4459734123
7.200000,0.5295093900,0.8488381630,0.4494677779
7.250000,0.5341164085,0.8479671568,0.4529131724
7.300000,0.5386741813,0.8470983254,0.4563099969
7.350000,0.5431830112,0.8462316634,0.4596586631
7.400000,0.5476432147,0.8453671653,0.4629595920
7.450000,0.5520551201,0.8445048258,0.4662132130
7.500000,0.5564190672,0.8436446394,0.4694199633
7.550000,0.5607354061,0.8427866008,0.4725802868
7.600000,0.5650044964,0.8419307046,0.4756946338
7.650000,0.5692267065,0.8410769455,0.4787634596
7.700000,0.5734024127,0.8402253181,0.4817872246
7.750000,0.5775319985,0.8393758171,0.4847663931
7.800000,0.5816158540,0.8385284372,0.4877014331
7.850000,0.5856543752,0.8376831732,0.4905928154
7.900000,0.5896479632,0.8368400196,0.4934410131
7.950000,0.5935970240,0.8359989713,0.4962465015
8.000000,0.5975019676,0.8351600230,0.4990097570
8.050000,0.6013632076,0.8343231695,0.5017312574
8.100000,0.6051811607,0.8334884054,0.5044114807
8.150000,0.6089562463,0.8326557257,0.5070509052
8.200000,0.6126888858,0.8318251251,0.5096500091
8.250000,0.6163795027,0.8309965983,0.5122092700
8.300000,0.6200285214,0.8301701404,0.5147291646
8.350000,0.6236363678,0.8293457459,0.5172101686
8.400000,0.6272034681,0.8285234099,0.5196527561
8.450000,0.6307302489,0.8277031272,0.5220573994
8.500000,0.6342171369,0.8268848926,0.5244245691
8.550000,0.6376645585,0.8260687010,0.5267547335
8.600000,0.6410729394,0.8252545474,0.5290483584
8.650000,0.6444427046,0.8244424266,0.5313059072
8.700000,0.6477742781,0.8236323335,0.5335278403
8.750000,0.6510680824,0.8228242632,0.5357146152
8.800000,0.6543245388,0.8220182105,0.5378666865
8.850000,0.6575440666,0.8212141705,0.5399845052
8.900000,0.6607270835,0.8204121380,0.5420685192
8.950000,0.6638740050,0.8196121081,0.5441191727
9.000000,0.6669852443,0.8188140758,0.5461369064
9.050000,0.6700612124,0.8180180361,0.5481221570
9.100000,0.6731023178,0.8172239840,0.5500753578
9.150000,0.6761089663,0.8164319145,0.5519969378
9.200000,0.6790815610,0.8156418228,0.5538873222
9.250000,0.6820205020,0.8148537038,0.5557469321
9.300000,0.6849261868,0.8140675526,0.5575761846
9.350000,0.6877990095,0.8132833644,0.5593754924
9.400000,0.6906393611,0.8125011341,0.5611452642
9.450000,0.6934476297,0.8117208571,0.5628859043
9.500000,0.6962241997,0.8109425282,0.5645978128
9.550000,0.6989694526,0.8101661428,0.5662813853
9.600000,0.7016837660,0.8093916959,0.5679370133
9.650000,0.7043675145,0.8086191827,0.5695650839
9.700000,0.7070210689,0.8078485984,0.5711659796
9.750000,0.7096447967,0.8070799381,0.5727400786
9.800000,0.7122390617,0.8063131971,0.5742877549
9.850000,0.7148042240,0.8055483705,0.5758093779
9.900000,0.7173406402,0.8047854536,0.5773053126
9.950000,0.7198486633,0.8040244417,0.5787759196
10.000000,0.7223286425,0.8032653299,0.5802215553
10.050000,0.7247809234,0.8025081134,0.5816425715
10.100000,0.7272058478,0.8017527877,0.5830393157
10.150000,0.7296037539,0.8009993479,0.5844121311
10.200000,0.7319749762,0.8002477894,0.5857613566
10.250000,0.7343198455,0.7994981074,0.5870873267
10.300000,0.7366386887,0.7987502973,0.5883903716
10.350000,0.7389318292,0.7980043544,0.5896708173
10.400000,0.7411995867,0.7972602740,0.5909289856
10.450000,0.7434422772,0.7965180515,0.5921651940
10.500000,0.7456602128,0.7957776822,0.5933797558
10.550000,0.7478537022,0.7950391615,0.5945729804
10.600000,0.7500230505,0.7943024848,0.5957451727
10.650000,0.7521685588,0.7935676476,0.5968966338
10.700000,0.7542905249,0.7928346451,0.5980276606
10.750000,0.7563892430,0.7921034728,0.5991385461
10.800000,0.7584650035,0.7913741262,0.6002295794
10.850000,0.7605180934,0.7906466007,0.6013010453
10.900000,0.7625487963,0.7899208917,0.6023532251
10.950000,0.7645573920,0.7891969947,0.6033863960
11.000000,0.7665441569,0.7884749052,0.6044008315
11.050000,0.7685093642,0.7877546187,0.6053968011
11.100000,0.7704532833,0.7870361306,0.6063745709
11.150000,0.7723761805,0.7863194365,0.6073344030
11.200000,0.7742783186,0.7856045319,0.6082765560
11.250000,0.7761599569,0.7848914124,0.6092012848
11.300000,0.7780213517,0.7841800734,0.6101088407
11.350000,0.7798627559,0.7834705105,0.6109994715
11.400000,0.7816844190,0.7827627193,0.6118734215
11.450000,0.7834865875,0.7820566954,0.6127309315
11.500000,0.7852695045,0.7813524344,0.6135722390
11.550000,0.7870334101,0.7806499318,0.6143975779
11.600000,0.7887785412,0.7799491833,0.6152071790
11.650000,0.7905051317,0.7792501844,0.6160012697
11.700000,0.7922134124,0.7785529309,0.6167800741
11.750000,0.7939036110,0.7778574183,0.6175438133
11.800000,0.7955759522,0.7771636424,0.6182927048
11.850000,0.7972306580,0.7764715987,0.6190269635
11.900000,0.7988679471,0.7757812829,0.6197468009
11.950000,0.8004880355,0.7750926908,0.6204524254
12.000000,0.8020911364,0.7744058180,0.6211440426
12.050000,0.8036774601,0.7737206603,0.6218218551
12.100000,0.8052472140,0.7730372133,0.6224860624
12.150000,0.8068006030,0.7723554728,0.6231368612
12.200000,0.8083378290,0.7716754345,0.6237744455
12.250000,0.8098590914,0.7709970942,0.6243990062
12.300000,0.8113645869,0.7703204477,0.6250107318
12.350000,0.8128545095,0.7696454906,0.6256098077
12.400000,0.8143290506,0.7689722188,0.6261964169
12.450000,0.8157883992,0.7683006281,0.6267707395
12.500000,0.8172327415,0.7676307143,0.6273329531
12.550000,0.8186622616,0.7669624731,0.6278832328
12.600000,0.8200771406,0.7662959005,0.6284217510
12.650000,0.8214775577,0.7656309922,0.6289486776
12.700000,0.8228636893,0.7649677442,0.6294641802
12.750000,0.8242357097,0.7643061521,0.6299684238
12.800000,0.8255937907,0.7636462120,0.6304615710
12.850000,0.8269381019,0.7629879197,0.6309437821
12.900000,0.8282688104,0.7623312711,0.6314152150
12.950000,0.8295860813,0.7616762620,0.6318760254
13.000000,0.8308900774,0.7610228884,0.6323263666
13.050000,0.8321809593,0.7603711462,0.6327663898
13.100000,0.8334588854,0.7597210313,0.6331962440
13.150000,0.8347240121,0.7590725397,0.6336160757
13.200000,0.8359764934,0.7584256672,0.6340260298
13.250000,0.8372164817,0.7577804100,0.6344262488
13.300000,0.8384441269,0.7571367639,0.6348168729
13.350000,0.8396595772,0.7564947248,0.6351980408
13.400000,0.8408629785,0.7558542889,0.6355698887
13.450000,0.8420544751,0.7552154520,0.6359325511
13.500000,0.8432342091,0.7545782103,0.6362861604
13.550000,0.8444023208,0.7539425597,0.6366308471
13.600000,0.8455589485,0.7533084962,0.6369667399
13.650000,0.8467042288,0.7526760159,0.6372939656
13.700000,0.8478382965,0.7520451148,0.6376126490
13.750000,0.8489612843,0.7514157890,0.6379229133
13.800000,0.8500733235,0.7507880345,0.6382248798
13.850000,0.8511745433,0.7501618475,0.6385186680
13.900000,0.8522650715,0.7495372240,0.6388043958
13.950000,0.8533450339,0.7489141601,0.6390821793
14.000000,0.8544145548,0.7482926519,0.6393521330
14.050000,0.8554737568,0.7476726955,0.6396143697
14.100000,0.8565227607,0.7470542871,0.6398690004
14.150000,0.8575616860,0.7464374228,0.6401161348
14.200000,0.8585906505,0.7458220987,0.6403558809
14.250000,0.8596097702,0.7452083110,0.6405883450
