# Source Data for Fig. 6a: Holevo quantity vs damping parameter
# Recomputed from the closed forms in the paper, not from the co-author's code.
gamma,alpha_sq,chi_bits
0.0000,0.10,1.0000000000
0.0020,0.10,0.9826533914
0.0040,0.10,0.9685596136
0.0060,0.10,0.9557002638
0.0080,0.10,0.9436459107
0.0100,0.10,0.9321924659
0.0120,0.10,0.9212196499
0.0140,0.10,0.9106479403
0.0160,0.10,0.9004207868
0.0180,0.10,0.8904958847
0.0200,0.10,0.8808403814
0.0220,0.10,0.8714280196
0.0240,0.10,0.8622373289
0.0260,0.10,0.8532504234
0.0280,0.10,0.8444521717
0.0300,0.10,0.8358296053
0.0320,0.10,0.8273714850
0.0340,0.10,0.8190679761
0.0360,0.10,0.8109104003
0.0380,0.10,0.8028910430
0.0400,0.10,0.7950030007
0.0420,0.10,0.7872400598
0.0440,0.10,0.7795965976
0.0460,0.10,0.7720675023
0.0480,0.10,0.7646481057
0.0500,0.10,0.7573341285
0.0520,0.10,0.7501216331
0.0540,0.10,0.7430069847
0.0560,0.10,0.7359868173
0.0580,0.10,0.7290580053
0.0600,0.10,0.7222176385
0.0620,0.10,0.7154630003
0.0640,0.10,0.7087915497
0.0660,0.10,0.7022009042
0.0680,0.10,0.6956888258
0.0700,0.10,0.6892532083
0.0720,0.10,0.6828920656
0.0740,0.10,0.6766035224
0.0760,0.10,0.6703858045
0.0780,0.10,0.6642372316
0.0800,0.10,0.6581562093
0.0820,0.10,0.6521412235
0.0840,0.10,0.6461908337
0.0860,0.10,0.6403036687
0.0880,0.10,0.6344784208
0.0900,0.10,0.6287138422
0.0920,0.10,0.6230087407
0.0940,0.10,0.6173619764
0.0960,0.10,0.6117724578
0.0980,0.10,0.6062391394
0.1000,0.10,0.6007610185
0.1020,0.10,0.5953371329
0.1040,0.10,0.5899665582
0.1060,0.10,0.5846484060
0.1080,0.10,0.5793818218
0.1100,0.10,0.5741659827
0.1120,0.10,0.5690000964
0.1140,0.10,0.5638833989
0.1160,0.10,0.5588151535
0.1180,0.10,0.5537946491
0.1200,0.10,0.5488211990
0.1220,0.10,0.5438941399
0.1240,0.10,0.5390128302
0.1260,0.10,0.5341766497
0.1280,0.10,0.5293849980
0.1300,0.10,0.5246372937
0.1320,0.10,0.5199329738
0.1340,0.10,0.5152714926
0.1360,0.10,0.5106523209
0.1380,0.10,0.5060749456
0.1400,0.10,0.5015388688
0.1420,0.10,0.4970436068
0.1440,0.10,0.4925886903
0.1460,0.10,0.4881736631
0.1480,0.10,0.4837980819
0.1500,0.10,0.4794615157
0.1520,0.10,0.4751635453
0.1540,0.10,0.4709037630
0.1560,0.10,0.4666817718
0.1580,0.10,0.4624971855
0.1600,0.10,0.4583496276
0.1620,0.10,0.4542387318
0.1640,0.10,0.4501641408
0.1660,0.10,0.4461255067
0.1680,0.10,0.4421224900
0.1700,0.10,0.4381547597
0.1720,0.10,0.4342219931
0.1740,0.10,0.4303238752
0.1760,0.10,0.4264600986
0.1780,0.10,0.4226303631
0.1800,0.10,0.4188343759
0.1820,0.10,0.4150718507
0.1840,0.10,0.4113425079
0.1860,0.10,0.4076460746
0.1880,0.10,0.4039822838
0.1900,0.10,0.4003508746
0.1920,0.10,0.3967515919
0.1940,0.10,0.3931841864
0.1960,0.10,0.3896484141
0.1980,0.10,0.3861440365
0.2000,0.10,0.3826708200
0.2020,0.10,0.3792285363
0.2040,0.10,0.3758169618
0.2060,0.10,0.3724358776
0.2080,0.10,0.3690850694
0.2100,0.10,0.3657643275
0.2120,0.10,0.3624734464
0.2140,0.10,0.3592122249
0.2160,0.10,0.3559804658
0.2180,0.10,0.3527779759
0.2200,0.10,0.3496045661
0.2220,0.10,0.3464600507
0.2240,0.10,0.3433442481
0.2260,0.10,0.3402569800
0.2280,0.10,0.3371980716
0.2300,0.10,0.3341673518
0.2320,0.10,0.3311646525
0.2340,0.10,0.3281898090
0.2360,0.10,0.3252426596
0.2380,0.10,0.3223230460
0.2400,0.10,0.3194308125
0.2420,0.10,0.3165658068
0.2440,0.10,0.3137278790
0.2460,0.10,0.3109168823
0.2480,0.10,0.3081326725
0.2500,0.10,0.3053751082
0.2520,0.10,0.3026440505
0.2540,0.10,0.2999393631
0.2560,0.10,0.2972609122
0.2580,0.10,0.2946085665
0.2600,0.10,0.2919821968
0.2620,0.10,0.2893816766
0.2640,0.10,0.2868068815
0.2660,0.10,0.2842576894
0.2680,0.10,0.2817339802
0.2700,0.10,0.2792356364
0.2720,0.10,0.2767625420
0.2740,0.10,0.2743145835
0.2760,0.10,0.2718916493
0.2780,0.10,0.2694936297
0.2800,0.10,0.2671204169
0.2820,0.10,0.2647719052
0.2840,0.10,0.2624479906
0.2860,0.10,0.2601485709
0.2880,0.10,0.2578735458
0.2900,0.10,0.2556228167
0.2920,0.10,0.2533962867
0.2940,0.10,0.2511938607
0.2960,0.10,0.2490154450
0.2980,0.10,0.2468609478
0.3000,0.10,0.2447302787
0.3020,0.10,0.2426233492
0.3040,0.10,0.2405400718
0.3060,0.10,0.2384803611
0.3080,0.10,0.2364441327
0.3100,0.10,0.2344313041
0.3120,0.10,0.2324417938
0.3140,0.10,0.2304755220
0.3160,0.10,0.2285324103
0.3180,0.10,0.2266123814
0.3200,0.10,0.2247153598
0.3220,0.10,0.2228412708
0.3240,0.10,0.2209900415
0.3260,0.10,0.2191615998
0.3280,0.10,0.2173558753
0.3300,0.10,0.2155727985
0.3320,0.10,0.2138123013
0.3340,0.10,0.2120743169
0.3360,0.10,0.2103587794
0.3380,0.10,0.2086656244
0.3400,0.10,0.2069947883
0.3420,0.10,0.2053462090
0.3440,0.10,0.2037198252
0.3460,0.10,0.2021155769
0.3480,0.10,0.2005334051
0.3500,0.10,0.1989732519
0.3520,0.10,0.1974350605
0.3540,0.10,0.1959187752
0.3560,0.10,0.1944243410
0.3580,0.10,0.1929517044
0.3600,0.10,0.1915008125
0.3620,0.10,0.1900716137
0.3640,0.10,0.1886640570
0.3660,0.10,0.1872780928
0.3680,0.10,0.1859136722
0.3700,0.10,0.1845707472
0.3720,0.10,0.1832492709
0.3740,0.10,0.1819491973
0.3760,0.10,0.1806704812
0.3780,0.10,0.1794130783
