# Source Data for Fig. 6b: Holevo quantity vs input-state amplitude
# Recomputed from the closed forms in the paper, not from the co-author's code.
alpha_sq,gamma,chi_bits
0.0000,0.10,0.5310044064
0.0020,0.10,0.5324302664
0.0040,0.10,0.5338549124
0.0060,0.10,0.5352783419
0.0080,0.10,0.5367005526
0.0100,0.10,0.5381215419
0.0120,0.10,0.5395413074
0.0140,0.10,0.5409598468
0.0160,0.10,0.5423771575
0.0180,0.10,0.5437932371
0.0200,0.10,0.5452080831
0.0220,0.10,0.5466216930
0.0240,0.10,0.5480340644
0.0260,0.10,0.5494451948
0.0280,0.10,0.5508550816
0.0300,0.10,0.5522637224
0.0320,0.10,0.5536711146
0.0340,0.10,0.5550772557
0.0360,0.10,0.5564821432
0.0380,0.10,0.5578857745
0.0400,0.10,0.5592881471
0.0420,0.10,0.5606892584
0.0440,0.10,0.5620891059
0.0460,0.10,0.5634876869
0.0480,0.10,0.5648849990
0.0500,0.10,0.5662810394
0.0520,0.10,0.5676758057
0.0540,0.10,0.5690692951
0.0560,0.10,0.5704615051
0.0580,0.10,0.5718524331
0.0600,0.10,0.5732420764
0.0620,0.10,0.5746304323
0.0640,0.10,0.5760174982
0.0660,0.10,0.5774032715
0.0680,0.10,0.5787877495
0.0700,0.10,0.5801709295
0.0720,0.10,0.5815528088
0.0740,0.10,0.5829333847
0.0760,0.10,0.5843126545
0.0780,0.10,0.5856906154
0.0800,0.10,0.5870672649
0.0820,0.10,0.5884426001
0.0840,0.10,0.5898166182
0.0860,0.10,0.5911893166
0.0880,0.10,0.5925606925
0.0900,0.10,0.5939307430
0.0920,0.10,0.5952994655
0.0940,0.10,0.5966668571
0.0960,0.10,0.5980329150
0.0980,0.10,0.5993976364
0.1000,0.10,0.6007610185
0.1020,0.10,0.6021230585
0.1040,0.10,0.6034837536
0.1060,0.10,0.6048431008
0.1080,0.10,0.6062010973
0.1100,0.10,0.6075577403
0.1120,0.10,0.6089130268
0.1140,0.10,0.6102669540
0.1160,0.10,0.6116195191
0.1180,0.10,0.6129707190
0.1200,0.10,0.6143205508
0.1220,0.10,0.6156690117
0.1240,0.10,0.6170160987
0.1260,0.10,0.6183618089
0.1280,0.10,0.6197061392
0.1300,0.10,0.6210490867
0.1320,0.10,0.6223906485
0.1340,0.10,0.6237308216
0.1360,0.10,0.6250696028
0.1380,0.10,0.6264069893
0.1400,0.10,0.6277429781
0.1420,0.10,0.6290775660
0.1440,0.10,0.6304107500
0.1460,0.10,0.6317425272
0.1480,0.10,0.6330728943
0.1500,0.10,0.6344018484
0.1520,0.10,0.6357293864
0.1540,0.10,0.6370555051
0.1560,0.10,0.6383802014
0.1580,0.10,0.6397034723
0.1600,0.10,0.6410253146
0.1620,0.10,0.6423457251
0.1640,0.10,0.6436647007
0.1660,0.10,0.6449822383
0.1680,0.10,0.6462983346
