# Source Data for Fig. 7a: independent leakage model, k1 = k2 = k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,gamma,expected_holevo_bits,eve_fidelity
0.000,0.0,1.0000000000,0.5000000000
0.010,0.0,0.9905662267,0.5058606822
0.020,0.0,0.9812160958,0.5116455137
0.030,0.0,0.9719489775,0.5173555963
0.040,0.0,0.9627642442,0.5229920142
0.050,0.0,0.9536612707,0.5285558340
0.060,0.0,0.9446394342,0.5340481050
0.070,0.0,0.9356981143,0.5394698598
0.080,0.0,0.9268366930,0.5448221141
0.090,0.0,0.9180545549,0.5501058675
0.100,0.0,0.9093510872,0.5553221035
0.110,0.0,0.9007256795,0.5604717897
0.120,0.0,0.8921777243,0.5655558784
0.130,0.0,0.8837066168,0.5705753066
0.140,0.0,0.8753117547,0.5755309963
0.150,0.0,0.8669925386,0.5804238549
0.160,0.0,0.8587483721,0.5852547752
0.170,0.0,0.8505786613,0.5900246361
0.180,0.0,0.8424828154,0.5947343023
0.190,0.0,0.8344602465,0.5993846249
0.200,0.0,0.8265103695,0.6039764416
0.210,0.0,0.8186326025,0.6085105767
0.220,0.0,0.8108263664,0.6129878416
0.230,0.0,0.8030910852,0.6174090350
0.240,0.0,0.7954261858,0.6217749429
0.250,0.0,0.7878310984,0.6260863392
0.260,0.0,0.7803052562,0.6303439853
0.270,0.0,0.7728480954,0.6345486309
0.280,0.0,0.7654590555,0.6387010141
0.290,0.0,0.7581375790,0.6428018614
0.300,0.0,0.7508831117,0.6468518877
0.310,0.0,0.7436951024,0.6508517973
0.320,0.0,0.7365730032,0.6548022830
0.330,0.0,0.7295162695,0.6587040274
0.340,0.0,0.7225243597,0.6625577022
0.350,0.0,0.7155967357,0.6663639687
0.360,0.0,0.7087328624,0.6701234782
0.370,0.0,0.7019322080,0.6738368718
0.380,0.0,0.6951942441,0.6775047808
0.390,0.0,0.6885184455,0.6811278268
0.400,0.0,0.6819042901,0.6847066219
0.410,0.0,0.6753512594,0.6882417688
0.420,0.0,0.6688588379,0.6917338609
0.430,0.0,0.6624265136,0.6951834827
0.440,0.0,0.6560537776,0.6985912097
0.450,0.0,0.6497401244,0.7019576086
0.460,0.0,0.6434850519,0.7052832377
0.470,0.0,0.6372880611,0.7085686466
0.480,0.0,0.6311486564,0.7118143767
0.490,0.0,0.6250663456,0.7150209611
0.500,0.0,0.6190406395,0.7181889251
0.510,0.0,0.6130710526,0.7213187859
0.520,0.0,0.6071571024,0.7244110528
0.530,0.0,0.6012983098,0.7274662278
0.540,0.0,0.5954941990,0.7304848051
0.550,0.0,0.5897442975,0.7334672716
0.560,0.0,0.5840481360,0.7364141069
0.570,0.0,0.5784052485,0.7393257835
0.580,0.0,0.5728151725,0.7422027667
0.590,0.0,0.5672774483,0.7450455151
0.600,0.0,0.5617916200,0.7478544804
0.610,0.0,0.5563572346,0.7506301076
0.620,0.0,0.5509738424,0.7533728350
0.630,0.0,0.5456409970,0.7560830947
0.640,0.0,0.5403582554,0.7587613123
0.650,0.0,0.5351251774,0.7614079069
0.660,0.0,0.5299413264,0.7640232918
0.670,0.0,0.5248062689,0.7666078741
0.680,0.0,0.5197195746,0.7691620548
0.690,0.0,0.5146808162,0.7716862293
0.700,0.0,0.5096895699,0.7741807870
0.710,0.0,0.5047454149,0.7766461118
0.720,0.0,0.4998479336,0.7790825818
0.730,0.0,0.4949967114,0.7814905699
0.740,0.0,0.4901913370,0.7838704433
0.750,0.0,0.4854314022,0.7862225640
0.760,0.0,0.4807165019,0.7885472889
0.770,0.0,0.4760462341,0.7908449696
0.780,0.0,0.4714201998,0.7931159527
0.790,0.0,0.4668380032,0.7953605796
0.800,0.0,0.4622992516,0.7975791873
0.810,0.0,0.4578035551,0.7997721074
0.820,0.0,0.4533505271,0.8019396671
0.830,0.0,0.4489397839,0.8040821889
0.840,0.0,0.4445709449,0.8061999906
0.850,0.0,0.4402436323,0.8082933855
0.860,0.0,0.4359574715,0.8103626826
0.870,0.0,0.4317120906,0.8124081863
0.880,0.0,0.4275071211,0.8144301967
0.890,0.0,0.4233421969,0.8164290099
0.900,0.0,0.4192169552,0.8184049175
0.910,0.0,0.4151310360,0.8203582073
0.920,0.0,0.4110840822,0.8222891629
0.930,0.0,0.4070757394,0.8241980639
0.940,0.0,0.4031056564,0.8260851859
0.950,0.0,0.3991734845,0.8279508009
0.960,0.0,0.3952788782,0.8297951768
0.970,0.0,0.3914214945,0.8316185781
0.980,0.0,0.3876009932,0.8334212654
0.990,0.0,0.3838170372,0.8352034956
1.000,0.0,0.3800692919,0.8369655222
1.010,0.0,0.3763574254,0.8387075951
1.020,0.0,0.3726811088,0.8404299609
1.030,0.0,0.3690400157,0.8421328627
1.040,0.0,0.3654338226,0.8438165400
1.050,0.0,0.3618622084,0.8454812295
1.060,0.0,0.3583248549,0.8471271643
1.070,0.0,0.3548214465,0.8487545743
1.080,0.0,0.3513516702,0.8503636865
1.090,0.0,0.3479152158,0.8519547245
1.100,0.0,0.3445117754,0.8535279091
1.110,0.0,0.3411410439,0.8550834579
1.120,0.0,0.3378027188,0.8566215857
1.130,0.0,0.3344965000,0.8581425043
1.140,0.0,0.3312220901,0.8596464227
1.150,0.0,0.3279791941,0.8611335469
1.160,0.0,0.3247675196,0.8626040804
1.170,0.0,0.3215867765,0.8640582236
1.180,0.0,0.3184366776,0.8654961746
1.190,0.0,0.3153169376,0.8669181285
1.200,0.0,0.3122272741,0.8683242779
1.210,0.0,0.3091674070,0.8697148130
1.220,0.0,0.3061370584,0.8710899212
1.230,0.0,0.3031359530,0.8724497874
1.240,0.0,0.3001638179,0.8737945944
1.250,0.0,0.2972203824,0.8751245221
1.260,0.0,0.2943053783,0.8764397482
1.270,0.0,0.2914185396,0.8777404482
1.280,0.0,0.2885596028,0.8790267951
1.290,0.0,0.2857283064,0.8802989596
1.300,0.0,0.2829243914,0.8815571103
1.310,0.0,0.2801476010,0.8828014133
1.320,0.0,0.2773976807,0.8840320329
1.330,0.0,0.2746743781,0.8852491309
1.340,0.0,0.2719774432,0.8864528672
1.350,0.0,0.2693066279,0.8876433996
1.360,0.0,0.2666616867,0.8888208836
1.370,0.0,0.2640423758,0.8899854729
1.380,0.0,0.2614484540,0.8911373192
1.390,0.0,0.2588796818,0.8922765721
1.400,0.0,0.2563358222,0.8934033793
1.410,0.0,0.2538166400,0.8945178868
