# Source Data for Fig. 7b: sequential leakage model, k1 = k2 = k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,gamma,expected_holevo_bits,eve_fidelity
0.000,0.0,1.0000000000,0.5000000000
0.010,0.0,0.9996627285,0.5010148838
0.020,0.0,0.9992331630,0.5020590740
0.030,0.0,0.9987131736,0.5031318868
0.040,0.0,0.9981046022,0.5042326494
0.050,0.0,0.9974092633,0.5053606993
0.060,0.0,0.9966289436,0.5065153844
0.070,0.0,0.9957654033,0.5076960631
0.080,0.0,0.9948203756,0.5089021037
0.090,0.0,0.9937955678,0.5101328847
0.100,0.0,0.9926926609,0.5113877943
0.110,0.0,0.9915133108,0.5126662304
0.120,0.0,0.9902591477,0.5139676007
0.130,0.0,0.9889317774,0.5152913221
0.140,0.0,0.9875327808,0.5166368211
0.150,0.0,0.9860637146,0.5180035332
0.160,0.0,0.9845261119,0.5193909030
0.170,0.0,0.9829214820,0.5207983842
0.180,0.0,0.9812513109,0.5222254391
0.190,0.0,0.9795170619,0.5236715388
0.200,0.0,0.9777201754,0.5251361632
0.210,0.0,0.9758620696,0.5266188004
0.220,0.0,0.9739441408,0.5281189468
0.230,0.0,0.9719677634,0.5296361073
0.240,0.0,0.9699342905,0.5311697948
0.250,0.0,0.9678450539,0.5327195302
0.260,0.0,0.9657013647,0.5342848422
0.270,0.0,0.9635045133,0.5358652674
0.280,0.0,0.9612557699,0.5374603502
0.290,0.0,0.9589563847,0.5390696424
0.300,0.0,0.9566075882,0.5406927032
0.310,0.0,0.9542105912,0.5423290993
0.320,0.0,0.9517665856,0.5439784047
0.330,0.0,0.9492767441,0.5456402005
0.340,0.0,0.9467422209,0.5473140747
0.350,0.0,0.9441641516,0.5489996226
0.360,0.0,0.9415436537,0.5506964460
0.370,0.0,0.9388818269,0.5524041537
0.380,0.0,0.9361797531,0.5541223612
0.390,0.0,0.9334384967,0.5558506903
0.400,0.0,0.9306591049,0.5575887696
0.410,0.0,0.9278426081,0.5593362339
0.420,0.0,0.9249900199,0.5610927244
0.430,0.0,0.9221023374,0.5628578883
0.440,0.0,0.9191805413,0.5646313793
0.450,0.0,0.9162255964,0.5664128569
0.460,0.0,0.9132384517,0.5682019865
0.470,0.0,0.9102200405,0.5699984394
0.480,0.0,0.9071712808,0.5718018929
0.490,0.0,0.9040930754,0.5736120296
0.500,0.0,0.9009863120,0.5754285382
0.510,0.0,0.8978518638,0.5772511125
0.520,0.0,0.8946905893,0.5790794520
0.530,0.0,0.8915033326,0.5809132616
0.540,0.0,0.8882909239,0.5827522513
0.550,0.0,0.8850541791,0.5845961365
0.560,0.0,0.8817939007,0.5864446378
0.570,0.0,0.8785108774,0.5882974806
0.580,0.0,0.8752058846,0.5901543957
0.590,0.0,0.8718796846,0.5920151184
0.600,0.0,0.8685330267,0.5938793893
0.610,0.0,0.8651666472,0.5957469534
0.620,0.0,0.8617812699,0.5976175607
0.630,0.0,0.8583776063,0.5994909656
0.640,0.0,0.8549563553,0.6013669274
0.650,0.0,0.8515182040,0.6032452097
0.660,0.0,0.8480638274,0.6051255804
0.670,0.0,0.8445938888,0.6070078123
0.680,0.0,0.8411090399,0.6088916819
0.690,0.0,0.8376099209,0.6107769704
0.700,0.0,0.8340971609,0.6126634630
0.710,0.0,0.8305713778,0.6145509492
0.720,0.0,0.8270331784,0.6164392223
0.730,0.0,0.8234831590,0.6183280798
0.740,0.0,0.8199219050,0.6202173232
0.750,0.0,0.8163499916,0.6221067578
0.760,0.0,0.8127679834,0.6239961927
0.770,0.0,0.8091764350,0.6258854408
0.780,0.0,0.8055758909,0.6277743188
0.790,0.0,0.8019668856,0.6296626470
0.800,0.0,0.7983499440,0.6315502494
0.810,0.0,0.7947255813,0.6334369534
0.820,0.0,0.7910943034,0.6353225901
0.830,0.0,0.7874566067,0.6372069938
0.840,0.0,0.7838129785,0.6390900024
0.850,0.0,0.7801638969,0.6409714572
0.860,0.0,0.7765098311,0.6428512025
0.870,0.0,0.7728512418,0.6447290862
0.880,0.0,0.7691885806,0.6466049592
0.890,0.0,0.7655222908,0.6484786756
0.900,0.0,0.7618528073,0.6503500926
0.910,0.0,0.7581805565,0.6522190704
0.920,0.0,0.7545059569,0.6540854723
0.930,0.0,0.7508294188,0.6559491646
0.940,0.0,0.7471513446,0.6578100162
0.950,0.0,0.7434721287,0.6596678994
0.960,0.0,0.7397921582,0.6615226888
0.970,0.0,0.7361118123,0.6633742622
0.980,0.0,0.7324314627,0.6652224998
0.990,0.0,0.7287514740,0.6670672848
