# Source Data for Fig. 7c: burst leakage model, k1 = k2 = k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,gamma,expected_holevo_bits,eve_fidelity
0.000,0.0,1.0000000000,0.5000000000
0.010,0.0,0.9900498337,0.5049750831
0.020,0.0,0.9801986733,0.5099006633
0.030,0.0,0.9704455335,0.5147772332
0.040,0.0,0.9607894392,0.5196052804
0.050,0.0,0.9512294245,0.5243852877
0.060,0.0,0.9417645336,0.5291177332
0.070,0.0,0.9323938199,0.5338030900
0.080,0.0,0.9231163464,0.5384418268
0.090,0.0,0.9139311853,0.5430344074
0.100,0.0,0.9048374180,0.5475812910
0.110,0.0,0.8958341353,0.5520829324
0.120,0.0,0.8869204367,0.5565397816
0.130,0.0,0.8780954309,0.5609522845
0.140,0.0,0.8693582354,0.5653208823
0.150,0.0,0.8607079764,0.5696460118
0.160,0.0,0.8521437890,0.5739281055
0.170,0.0,0.8436648166,0.5781675917
0.180,0.0,0.8352702114,0.5823648943
0.190,0.0,0.8269591339,0.5865204330
0.200,0.0,0.8187307531,0.5906346235
0.210,0.0,0.8105842460,0.5947078770
0.220,0.0,0.8025187980,0.5987406010
0.230,0.0,0.7945336025,0.6027331987
0.240,0.0,0.7866278611,0.6066860695
0.250,0.0,0.7788007831,0.6105996085
0.260,0.0,0.7710515858,0.6144742071
0.270,0.0,0.7633794943,0.6183102528
0.280,0.0,0.7557837415,0.6221081293
0.290,0.0,0.7482635676,0.6258682162
0.300,0.0,0.7408182207,0.6295908897
0.310,0.0,0.7334469562,0.6332765219
0.320,0.0,0.7261490371,0.6369254815
0.330,0.0,0.7189237334,0.6405381333
0.340,0.0,0.7117703228,0.6441148386
0.350,0.0,0.7046880897,0.6476559551
0.360,0.0,0.6976763261,0.6511618370
0.370,0.0,0.6907343306,0.6546328347
0.380,0.0,0.6838614092,0.6580692954
0.390,0.0,0.6770568745,0.6614715628
0.400,0.0,0.6703200460,0.6648399770
0.410,0.0,0.6636502501,0.6681748749
0.420,0.0,0.6570468198,0.6714765901
0.430,0.0,0.6505090947,0.6747454526
0.440,0.0,0.6440364211,0.6779817895
0.450,0.0,0.6376281516,0.6811859242
0.460,0.0,0.6312836455,0.6843581772
0.470,0.0,0.6250022683,0.6874988659
0.480,0.0,0.6187833918,0.6906083041
0.490,0.0,0.6126263942,0.6936868029
0.500,0.0,0.6065306597,0.6967346701
0.510,0.0,0.6004955788,0.6997522106
0.520,0.0,0.5945205480,0.7027397260
0.530,0.0,0.5886049697,0.7056975152
0.540,0.0,0.5827482524,0.7086258738
0.550,0.0,0.5769498104,0.7115250948
0.560,0.0,0.5712090638,0.7143954681
0.570,0.0,0.5655254387,0.7172372807
0.580,0.0,0.5598983666,0.7200508167
0.590,0.0,0.5543272847,0.7228363576
0.600,0.0,0.5488116361,0.7255941820
0.610,0.0,0.5433508691,0.7283245655
0.620,0.0,0.5379444376,0.7310277812
0.630,0.0,0.5325918010,0.7337040995
0.640,0.0,0.5272924240,0.7363537880
0.650,0.0,0.5220457768,0.7389771116
