# Source Data for Fig. 7d: correlated leakage model, gamma = 0.5, k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,mu,expected_holevo_bits,eve_fidelity
0.000,0.0,0.7497750884,0.5000000000
0.010,0.0,0.7432057846,0.5064132604
0.020,0.0,0.7366842019,0.5127260056
0.030,0.0,0.7302102148,0.5189399624
0.040,0.0,0.7237836921,0.5250568264
0.050,0.0,0.7174044973,0.5310782617
0.060,0.0,0.7110724886,0.5370059023
0.070,0.0,0.7047875188,0.5428413524
0.080,0.0,0.6985494362,0.5485861869
0.090,0.0,0.6923580840,0.5542419520
0.100,0.0,0.6862133011,0.5598101657
0.110,0.0,0.6801149217,0.5652923186
0.120,0.0,0.6740627760,0.5706898739
0.130,0.0,0.6680566901,0.5760042685
0.140,0.0,0.6620964859,0.5812369129
0.150,0.0,0.6561819818,0.5863891925
0.160,0.0,0.6503129926,0.5914624671
0.170,0.0,0.6444893292,0.5964580721
0.180,0.0,0.6387107997,0.6013773187
0.190,0.0,0.6329772086,0.6062214945
0.200,0.0,0.6272883574,0.6109918637
0.210,0.0,0.6216440448,0.6156896678
0.220,0.0,0.6160440664,0.6203161257
0.230,0.0,0.6104882155,0.6248724345
0.240,0.0,0.6049762824,0.6293597697
0.250,0.0,0.5995080551,0.6337792858
0.260,0.0,0.5940833195,0.6381321162
0.270,0.0,0.5887018589,0.6424193742
0.280,0.0,0.5833634545,0.6466421531
0.290,0.0,0.5780678859,0.6508015265
0.300,0.0,0.5728149302,0.6548985488
0.310,0.0,0.5676043632,0.6589342556
0.320,0.0,0.5624359585,0.6629096639
0.330,0.0,0.5573094886,0.6668257724
0.340,0.0,0.5522247240,0.6706835622
0.350,0.0,0.5471814339,0.6744839968
0.360,0.0,0.5421793864,0.6782280225
0.370,0.0,0.5372183481,0.6819165688
0.380,0.0,0.5322980843,0.6855505485
0.390,0.0,0.5274183595,0.6891308584
0.400,0.0,0.5225789369,0.6926583793
0.410,0.0,0.5177795790,0.6961339762
0.420,0.0,0.5130200473,0.6995584990
0.430,0.0,0.5083001024,0.7029327825
0.440,0.0,0.5036195045,0.7062576465
0.450,0.0,0.4989780127,0.7095338966
0.460,0.0,0.4943753858,0.7127623241
