# Source Data for Supplementary Fig. 1
# a=0.3, b=2.7, T_BKZ=2^30 s, ||b1||=10, d_i=2, s=2
m,log2_P_LWE_exact,log2_P_LWE_pade
5,0.0000000000,0.0000000000
6,0.0000000000,0.0000000000
7,0.0000000000,0.0000000000
8,0.0000000000,0.0000000000
9,0.0000000000,0.0000000000
10,0.0000000000,0.0000000000
11,0.0000000000,0.0000000000
12,0.0000000000,0.0000000000
13,0.0000000000,0.0000000000
14,0.0000000000,0.0000000000
15,0.0000000000,0.0000000000
16,0.0000000000,0.0000000000
17,0.0000000000,0.0000000000
18,0.0000000000,0.0000000000
19,0.0000000000,0.0000000000
20,0.0000000000,0.0000000000
21,0.0000000000,0.0000000000
22,0.0000000000,0.0000000000
23,0.0000000000,0.0000000000
24,0.0000000000,0.0000000000
25,0.0000000000,0.0000000000
26,0.0000000000,0.0000000000
27,0.0000000000,0.0000000000
28,0.0000000000,0.0000000000
29,0.0000000000,0.0000000000
30,0.0000000000,0.0000000000
31,0.0000000000,0.0000000000
32,0.0000000000,-0.0000000000
33,-0.0000000000,-0.0000000000
34,-0.0000000000,-0.0000000000
35,-0.0000000000,-0.0000000000
36,-0.0000000000,-0.0000000000
37,-0.0000000000,-0.0000000000
38,-0.0000000000,-0.0000000000
39,-0.0000000000,-0.0000000000
40,-0.0000000000,-0.0000000000
41,-0.0000000000,-0.0000000000
42,-0.0000000000,-0.0000000000
43,-0.0000000000,-0.0000000000
44,-0.0000000000,-0.0000000000
45,-0.0000000000,-0.0000000000
46,-0.0000000000,-0.0000000000
47,-0.0000000000,-0.0000000000
48,-0.0000000000,-0.0000000000
49,-0.0000000000,-0.0000000000
50,-0.0000000001,-0.0000000001
51,-0.0000000001,-0.0000000001
52,-0.0000000002,-0.0000000002
53,-0.0000000003,-0.0000000003
54,-0.0000000006,-0.0000000006
55,-0.0000000010,-0.0000000010
56,-0.0000000017,-0.0000000016
57,-0.0000000028,-0.0000000027
58,-0.0000000046,-0.0000000045
59,-0.0000000076,-0.0000000073
60,-0.0000000123,-0.0000000118
