# Source Data for Supplementary Fig. 2
# a=1.8, b=2.7, m=500, ||b1||=10, d_i=2, s=2
# log2_P_LWE_pade is the published curve: the plotting script evaluates
# sqrt(1 - exp(x)), which underflows double precision for log2_T_BKZ <= 56,
# so the figure draws no Pade point there and the cell is left blank.
# log2_P_LWE_pade_stable is the same quantity via expm1, which does not cancel;
# the two agree to better than 5e-05 in relative terms over the drawn rows.
log2_T_BKZ,log2_P_LWE_exact,log2_P_LWE_pade,log2_P_LWE_pade_stable
20,-18162.1528124682,,-18162.1487133005
22,-16563.4835023604,,-16563.4790420324
24,-15204.8075711971,,-15204.8027497090
26,-14035.9521871433,,-14035.9470044951
28,-13019.8188719366,,-13019.8133281282
30,-12128.3852276233,,-12128.3793226548
32,-11340.0893514554,,-11340.0830853267
34,-10638.0694829730,,-10638.0628556842
36,-10008.9494969537,,-10008.9425085047
38,-9441.9824819778,,-9441.9751323686
40,-8928.4349994912,,-8928.4272887218
42,-8461.1366424483,,-8461.1285705188
44,-8034.1453390577,,-8034.1369059681
46,-7642.4951278838,,-7642.4863336340
48,-7282.0036311494,,-7281.9944757394
50,-6949.1233671347,,-6949.1138505646
52,-6640.8256814280,,-6640.8158036977
54,-6354.5092429914,,-6354.4990041010
56,-6087.9272463118,,-6087.9166462613
58,-5839.1290052189,-5839.3855395947,-5839.1180440082
60,-5606.4127249196,-5606.5678580737,-5606.4014025487
62,-5388.2870334701,-5388.2889589551,-5388.2753499391
64,-5183.4394341224,-5183.4096630843,-5183.4273894313
66,-4990.7102681777,-4990.6965153549,-4990.6978623263
68,-4809.0710971575,-4809.0591083024,-4809.0583301460
70,-4637.6066532552,-4637.5940495586,-4637.5935250835
72,-4475.4996893127,-4475.4864378041,-4475.4861999809
74,-4322.0181990750,-4322.0042877571,-4322.0043485831
76,-4176.5045860717,-4176.4903166445,-4176.4903744196
78,-4038.3664430733,-4038.3518669418,-4038.3518702610
80,-3907.0686694750,-3907.0537392660,-3907.0537355025
82,-3782.1267054608,-3782.1114147623,-3782.1114103282
84,-3663.1007026166,-3663.0850488070,-3663.0850463239
86,-3549.5904831858,-3549.5744664377,-3549.5744657329
88,-3441.2311662367,-3441.2147872380,-3441.2147876236
90,-3337.6893600228,-3337.6726195323,-3337.6726202496
92,-3238.6598368310,-3238.6427359724,-3238.6427358977
94,-3143.8626204652,-3143.8451581147,-3143.8451583717
96,-3053.0404278351,-3053.0226045257,-3053.0226045815
98,-2965.9564154203,-2965.9382309403,-2965.9382310065
